nodeId,startNode,endNode
IHALL00902_IHALL01002,IHALL00902,IHALL01002
IHALL00902_IHALL01102,IHALL00902,IHALL01102
IHALL00903_IHALL00803,IHALL00903,IHALL00803
IHALL00903_IHALL01003,IHALL00903,IHALL01003
IHALL00904_IDEPT02504,IHALL00904,IDEPT02504
IHALL00904_IHALL00804,IHALL00904,IHALL00804
IHALL00904_IHALL01004,IHALL00904,IHALL01004
IHALL00905_IDEPT00305,IHALL00905,IDEPT00305
IHALL00905_IHALL00805,IHALL00905,IHALL00805
IHALL00905_IHALL01005,IHALL00905,IHALL01005
IHALL01001_IDEPT00701,IHALL01001,IDEPT00701
IHALL01005_ICONF00205,IHALL01005,ICONF00205
IHALL01101_IELEV00101,IHALL01101,IELEV00101
IHALL01101_IHALL00601,IHALL01101,IHALL00601
IHALL01101_ISTAI00301,IHALL01101,ISTAI00301
IHALL01102_IDEPT01002,IHALL01102,IDEPT01002
IHALL01103_IELEV00103,IHALL01103,IELEV00103
IHALL01103_IHALL01003,IHALL01103,IHALL01003
IHALL01103_IREST00103,IHALL01103,IREST00103
IHALL01103_ISTAI00203,IHALL01103,ISTAI00203
IHALL01104_IHALL01004,IHALL01104,IHALL01004
IHALL01104_IHALL01304,IHALL01104,IHALL01304
IHALL01105_IHALL01005,IHALL01105,IHALL01005
IHALL01201_IHALL01101,IHALL01201,IHALL01101
IHALL01201_IHALL01301,IHALL01201,IHALL01301
IHALL01201_ISTAI00401,IHALL01201,ISTAI00401
IHALL01202_IELEV00302,IHALL01202,IELEV00302
IHALL01202_IHALL01102,IHALL01202,IHALL01102
IHALL01202_IHALL02602,IHALL01202,IHALL02602
IHALL01202_IHALL02702,IHALL01202,IHALL02702
IHALL01203_IHALL00103,IHALL01203,IHALL00103
IHALL01203_IHALL01003,IHALL01203,IHALL01003
IHALL01203_IHALL01303,IHALL01203,IHALL01303
IHALL01204_IELEV00104,IHALL01204,IELEV00104
IHALL01204_IHALL01104,IHALL01204,IHALL01104
IHALL01204_IREST00104,IHALL01204,IREST00104
IHALL01204_ISTAI00504,IHALL01204,ISTAI00504
IHALL01205_IHALL00105,IHALL01205,IHALL00105
IHALL01205_IHALL01105,IHALL01205,IHALL01105
IHALL01205_IHALL01305,IHALL01205,IHALL01305
IHALL01205_IHALL01405,IHALL01205,IHALL01405
IHALL01402_IHALL01302,IHALL01402,IHALL01302
IHALL01403_IHALL01303,IHALL01403,IHALL01303
IHALL01404_IDEPT02004,IHALL01404,IDEPT02004
IHALL01404_IHALL01304,IHALL01404,IHALL01304
IHALL01405_ICONF00405,IHALL01405,ICONF00405
IHALL01501_IHALL01401,IHALL01501,IHALL01401
