id,nodeA,nodeB
ISTAI00103_ISTAI00305,ISTAI00103,ISTAI00305
IWALK01001_BadSol1615935648,IWALK01001,BadSol1615935648
ISTAI00103_ISTAI00304,ISTAI00103,ISTAI00304
ISTAI00102_ISTAI00305,ISTAI00102,ISTAI00305
ISTAI00101_ISTAI00305,ISTAI00101,ISTAI00305
ISTAI00102_ISTAI00304,ISTAI00102,ISTAI00304
ISTAI00101_ISTAI00304,ISTAI00101,ISTAI00304
ISTAI00203_ISTAI00202,ISTAI00203,ISTAI00202
IREST00303_IHALL02103,IREST00303,IHALL02103
IDEPT00305_IHALL00905,IDEPT00305,IHALL00905
IDEPT00904_IHALL02604,IDEPT00904,IHALL02604
IDEPT00503_IHALL00703,IDEPT00503,IHALL00703
IWALK00301_IWALK00201,IWALK00301,IWALK00201
IELEV00105_IHALL01305,IELEV00105,IHALL01305
IHALL01304_IHALL01104,IHALL01304,IHALL01104
IHALL03104_IDEPT01104,IHALL03104,IDEPT01104
IHALL02304_IHALL02404,IHALL02304,IHALL02404
BadSol1615935208_BadSol1615935210,BadSol1615935208,BadSol1615935210
IHALL02301_IHALL02401,IHALL02301,IHALL02401
IHALL02302_IHALL02402,IHALL02302,IHALL02402
IHALL00602_IDEPT00602,IHALL00602,IDEPT00602
BadSol1615935857_BadSol3,BadSol1615935857,BadSol3
IHALL00801_IHALL00901,IHALL00801,IHALL00901
IHALL02305_IHALL02405,IHALL02305,IHALL02405
IHALL00903_IHALL00803,IHALL00903,IHALL00803
BadSol1615935186_BadSol55,BadSol1615935186,BadSol55
IHALL03404_ICONF00304,IHALL03404,ICONF00304
IHALL00805_IHALL00905,IHALL00805,IHALL00905
IHALL01304_ICONF00104,IHALL01304,ICONF00104
IHALL00804_IHALL00904,IHALL00804,IHALL00904
BadSol1615935205_BadSol1615935206,BadSol1615935205,BadSol1615935206
BadSol1615935206_BadSol1615935207,BadSol1615935206,BadSol1615935207
IWALK00701_IWALK01101,IWALK00701,IWALK01101
BadSol1615935207_BadSol1615935208,BadSol1615935207,BadSol1615935208
ISERV00904_IHALL03204,ISERV00904,IHALL03204
ISTAI00203_ISTAI00505,ISTAI00203,ISTAI00505
BadSol1615935214_BadSol1615935212,BadSol1615935214,BadSol1615935212
ISTAI00203_ISTAI00504,ISTAI00203,ISTAI00504
ISTAI00202_ISTAI00505,ISTAI00202,ISTAI00505
ISTAI00202_ISTAI00504,ISTAI00202,ISTAI00504
BadSol1615935577_BadSol1615935578,BadSol1615935577,BadSol1615935578
IHALL03001_IHALL02801,IHALL03001,IHALL02801
ISTAI00201_IHALL03101,ISTAI00201,IHALL03101
BadSol1615935214_BadSol1615935216,BadSol1615935214,BadSol1615935216
IHALL02002_IDEPT01102,IHALL02002,IDEPT01102
BadSol1615935592_IPARK01101,BadSol1615935592,IPARK01101
ISERV00301_IHALL02701,ISERV00301,IHALL02701
ISERV00302_IHALL00402,ISERV00302,IHALL00402
IHALL01104_IHALL00104,IHALL01104,IHALL00104
IHALL01801_IDEPT00601,IHALL01801,IDEPT00601
BadSol1615935210_BadSol1615935211,BadSol1615935210,BadSol1615935211
BadSol1615935193_BadSol54,BadSol1615935193,BadSol54
BadSol1615935211_BadSol1615935212,BadSol1615935211,BadSol1615935212
ParkIconFaulkW_IPARK02801,ParkIconFaulkW,IPARK02801
IHALL01101_IHALL01201,IHALL01101,IHALL01201
IHALL01303_IHALL01203,IHALL01303,IHALL01203
BadSol1615935220_BadSol1615935217,BadSol1615935220,BadSol1615935217
IDEPT01204_IHALL03104,IDEPT01204,IHALL03104
IHALL01301_IHALL01201,IHALL01301,IHALL01201
ISERV00102_IHALL01602,ISERV00102,IHALL01602
IHALL01301_IKIOS00101,IHALL01301,IKIOS00101
IELEV00302_IHALL01202,IELEV00302,IHALL01202
IHALL01305_IHALL01205,IHALL01305,IHALL01205
BadSol1615935581_BadSol1615935578,BadSol1615935581,BadSol1615935578
IHALL03604_IHALL03504,IHALL03604,IHALL03504
IDEPT00705_IHALL01805,IDEPT00705,IHALL01805
BadSol1615935216_BadSol1615935217,BadSol1615935216,BadSol1615935217
IHALL01203_IHALL00103,IHALL01203,IHALL00103
BadSol1615935224_BadSol1615935223,BadSol1615935224,BadSol1615935223
BadSol1615935587_BadSol1615935586,BadSol1615935587,BadSol1615935586
ISTAI00305_ISTAI00304,ISTAI00305,ISTAI00304
IDEPT02005_IHALL03505,IDEPT02005,IHALL03505
BadSol1615935224_BadSol1615935225,BadSol1615935224,BadSol1615935225
BadSol1615935587_BadSol1615935588,BadSol1615935587,BadSol1615935588
IHALL03004_IHALL02904,IHALL03004,IHALL02904
IHALL02102_IREST00102,IHALL02102,IREST00102
ISERV00603_IHALL02303,ISERV00603,IHALL02303
IHALL01205_IHALL00105,IHALL01205,IHALL00105
BadSol1615935225_BadSol1615935226,BadSol1615935225,BadSol1615935226
BadSol1615935591_IPARK01201,BadSol1615935591,IPARK01201
ISTAI00102_IHALL01002,ISTAI00102,IHALL01002
IDEPT00901_IHALL01601,IDEPT00901,IHALL01601
BadSol1615935583_BadSol1615935584,BadSol1615935583,BadSol1615935584
ISTAI00201_ISTAI00405,ISTAI00201,ISTAI00405
IHALL03005_IHALL02905,IHALL03005,IHALL02905
BadSol1615935221_BadSol1615935222,BadSol1615935221,BadSol1615935222
BadSol1615935584_BadSol1615935585,BadSol1615935584,BadSol1615935585
ISTAI00201_ISTAI00404,ISTAI00201,ISTAI00404
BadSol1615935222_BadSol1615935223,BadSol1615935222,BadSol1615935223
BadSol1615935585_BadSol1615935586,BadSol1615935585,BadSol1615935586
IHALL00205_ICONF00105,IHALL00205,ICONF00105
IDEPT00603_IHALL00803,IDEPT00603,IHALL00803
IDEPT00702_IHALL00702,IDEPT00702,IHALL00702
BadSol1615935583_BadSol1615935581,BadSol1615935583,BadSol1615935581
IWALK00301_IWALK00401,IWALK00301,IWALK00401
IWALK01001_IWALK01301,IWALK01001,IWALK01301
IHALL02304_IHALL02204,IHALL02304,IHALL02204
IHALL02305_IHALL02205,IHALL02305,IHALL02205
IELEV00105_IELEV00104,IELEV00105,IELEV00104
IHALL01003_IHALL01203,IHALL01003,IHALL01203
IHALL01102_IDEPT01002,IHALL01102,IDEPT01002
IHALL02302_IHALL02202,IHALL02302,IHALL02202
IDEPT00101_IHALL02001,IDEPT00101,IHALL02001
IHALL02203_IHALL02303,IHALL02203,IHALL02303
IELEV00101_IELEV00104,IELEV00101,IELEV00104
IELEV00103_IELEV00102,IELEV00103,IELEV00102
IDEPT00501_IHALL00901,IDEPT00501,IHALL00901
IELEV00101_IELEV00105,IELEV00101,IELEV00105
IELEV00102_IELEV00104,IELEV00102,IELEV00104
IELEV00103_IELEV00104,IELEV00103,IELEV00104
IELEV00102_IELEV00105,IELEV00102,IELEV00105
IELEV00103_IELEV00105,IELEV00103,IELEV00105
IHALL00802_IHALL00702,IHALL00802,IHALL00702
IELEV00101_IELEV00102,IELEV00101,IELEV00102
IELEV00101_IELEV00103,IELEV00101,IELEV00103
IHALL00801_IHALL00701,IHALL00801,IHALL00701
IPARK01401_BadSol1615935922,IPARK01401,BadSol1615935922
IHALL00804_IHALL00704,IHALL00804,IHALL00704
IHALL00703_IHALL00803,IHALL00703,IHALL00803
BadSol1615935848_IPARK01601,BadSol1615935848,IPARK01601
IHALL00805_IHALL00705,IHALL00805,IHALL00705
IHALL01703_ISERV00703,IHALL01703,ISERV00703
IHALL03005_IHALL02605,IHALL03005,IHALL02605
BadSol1615935857_IWALK00201,BadSol1615935857,IWALK00201
BadSol1615935846_IPARK02701,BadSol1615935846,IPARK02701
IHALL01301_IEXIT00101,IHALL01301,IEXIT00101
ISTAI00205_IHALL03305,ISTAI00205,IHALL03305
IHALL03404_IHALL03504,IHALL03404,IHALL03504
IHALL01104_IHALL01204,IHALL01104,IHALL01204
IHALL03204_IDEPT01304,IHALL03204,IDEPT01304
IHALL01105_IHALL01205,IHALL01105,IHALL01205
IHALL01102_IHALL01202,IHALL01102,IHALL01202
IHALL00702_IHALL00902,IHALL00702,IHALL00902
IHALL02105_ILAB00105,IHALL02105,ILAB00105
IHALL01905_IDEPT00805,IHALL01905,IDEPT00805
BadSol1615935202_BadSol1615935201,BadSol1615935202,BadSol1615935201
ISTAI00301_ISTAI00505,ISTAI00301,ISTAI00505
ISTAI00301_ISTAI00504,ISTAI00301,ISTAI00504
BadSol1615935202_BadSol1615935204,BadSol1615935202,BadSol1615935204
BadSol1615935204_BadSol1615935205,BadSol1615935204,BadSol1615935205
ISTAI00405_ISTAI00404,ISTAI00405,ISTAI00404
PHALL00101_ISERV00201,PHALL00101,ISERV00201
IEXIT00101_ParkIconValet,IEXIT00101,ParkIconValet
BadSol1615935200_BadSol1615935201,BadSol1615935200,BadSol1615935201
IDEPT02004_IHALL01404,IDEPT02004,IHALL01404
ISTAI00105_IHALL03505,ISTAI00105,IHALL03505
IWALK00801_IWALK00901,IWALK00801,IWALK00901
ISTAI00203_IHALL01103,ISTAI00203,IHALL01103
IHALL02301_IHALL02201,IHALL02301,IHALL02201
ISERV00704_IHALL02804,ISERV00704,IHALL02804
BadSol4_BadSol1,BadSol4,BadSol1
IHALL02105_IHALL02205,IHALL02105,IHALL02205
IELEV00203_IELEV00204,IELEV00203,IELEV00204
IELEV00202_IELEV00205,IELEV00202,IELEV00205
IDEPT00301_IHALL02001,IDEPT00301,IHALL02001
IELEV00203_IELEV00205,IELEV00203,IELEV00205
IHALL02103_IHALL02203,IHALL02103,IHALL02203
IELEV00205_IELEV00204,IELEV00205,IELEV00204
IHALL02104_IHALL02204,IHALL02104,IHALL02204
IELEV00201_IELEV00202,IELEV00201,IELEV00202
